"Energy","CPS","Spectrum"
"109",2.1665772,4.43671331317523,"blackdiamond"
"110",2.1866381,4.21692650756873,"blackdiamond"
"111",2.206699,4.20575090728366,"blackdiamond"
"112",2.2267599,4.42553771289016,"blackdiamond"
"113",2.2468208,4.19830050709361,"blackdiamond"
"114",2.2668817,3.75127649569056,"blackdiamond"
"115",2.2869426,4.17967450661848,"blackdiamond"
"116",2.3070035,3.98223890158214,"blackdiamond"
"117",2.3270644,3.97851370148711,"blackdiamond"
"118",2.3471253,4.21320130747371,"blackdiamond"
"119",2.3671862,3.78107809645077,"blackdiamond"
"120",2.3872471,3.78480329654579,"blackdiamond"
"121",2.407308,3.66559689350498,"blackdiamond"
"122",2.4273689,3.74010089540549,"blackdiamond"
"123",2.4474298,3.76245209597564,"blackdiamond"
"124",2.4674907,3.52403928989401,"blackdiamond"
"125",2.4875516,3.44953528799351,"blackdiamond"
"126",2.5076125,3.52031408979899,"blackdiamond"
"127",2.5276734,3.44208488780346,"blackdiamond"
"128",2.5477343,3.34522968533279,"blackdiamond"
"129",2.5677952,3.39365728656812,"blackdiamond"
"130",2.5878561,3.47188648856366,"blackdiamond"
"131",2.607917,3.37875648618802,"blackdiamond"
"132",2.6279779,3.43835968770843,"blackdiamond"
"133",2.6480388,3.30797768438254,"blackdiamond"
"134",2.6680997,3.29307688400244,"blackdiamond"
"135",2.6881606,3.04721367773076,"blackdiamond"
"136",2.7082215,3.12916807982132,"blackdiamond"
"137",2.7282824,3.1105420793462,"blackdiamond"
"138",2.7483433,3.08074047858599,"blackdiamond"
"139",2.7684042,3.06211447811087,"blackdiamond"
"140",2.7884651,3.30425248428752,"blackdiamond"
"141",2.808526,3.50913848951391,"blackdiamond"
"142",2.8285869,3.6246196924597,"blackdiamond"
"143",2.8486478,3.8742080988264,"blackdiamond"
"144",2.8687087,3.64324569293483,"blackdiamond"
"145",2.8887696,3.35268008552285,"blackdiamond"
"146",2.9088305,3.29680208409747,"blackdiamond"
"147",2.9288914,3.09191607887107,"blackdiamond"
"148",2.9489523,3.13289327991635,"blackdiamond"
"149",2.9690132,3.15896968058153,"blackdiamond"
"150",2.9890741,3.25582488305219,"blackdiamond"
"151",3.009135,3.1850460812467,"blackdiamond"
"152",3.0291959,3.05093887782579,"blackdiamond"
"153",3.0492568,2.91683167440488,"blackdiamond"
"154",3.0693177,2.64861726756305,"blackdiamond"
"155",3.0893786,2.65234246765807,"blackdiamond"
"156",3.1094395,2.48843366347696,"blackdiamond"
"157",3.1295004,2.36550206034112,"blackdiamond"
"158",3.1495613,2.28354765825056,"blackdiamond"
"159",3.1696222,2.27609725806051,"blackdiamond"
"160",3.1896831,2.38040286072122,"blackdiamond"
"161",3.209744,2.27609725806051,"blackdiamond"
